"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,64.000009,0.000002,"B/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,1943.515109,332.787938,"MB/sec",UTF-8,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,64.117987,2.934198,"B/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004623,0.006711,"MB/sec",UTF-8,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000152,0.000211,"B/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,221.000000,NaN,"counts",UTF-8,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,23.000000,NaN,"ms",UTF-8,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,34.451863,9.095702,"ns/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,4424.848810,1141.810671,"MB/sec",UTF-8,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,240.000014,0.000004,"B/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,4425.731572,1226.908522,"MB/sec",UTF-8,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,239.978403,5.665898,"B/op",UTF-8,200
