"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: logPermutations","Param: seed","Param: size"
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,208.366801,5.249683,"ops/us",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.245798,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,0.001386,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,23.479033,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,4.018604,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.003642,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.000179,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.000591,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.000042,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.000288,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,0.004027,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,13.787348,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,16.685187,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.000034,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,23.421784,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000014,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,4.009351,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000043,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.000230,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,67.881815,NaN,"#/op",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,125.950747,0.654419,"ops/us",9,1,16
